DateTime,site_id,LE_obs,Rn,G,Ta_C,P_kPa,qa,ga,gs,rho_a,dT_obs
1999-01-07 09:00:00,US-MMS,7.259,49.64,-5.893,-13.069,99.6,0.000566188981164003,0.025427333934776638,0.0024366047459934656,1.334114673576286,1.4159673418879495
1999-01-10 12:00:00,US-MMS,2.703,155.2,-7.426,-8.472,98.6,0.0009200470107192156,0.06070245552754705,0.000587405670529631,1.2977813221335173,2.019933572517053
1999-01-10 13:00:00,US-MMS,4.071,134.27,-7.352,-7.401,98.5,0.0010742408494686367,0.05891463907928529,0.000888506571532147,1.291240205666931,1.799150229358701
1999-01-11 22:00:00,US-MMS,1.20634,-62.4,-6.342,3.501,97.5,0.0032435662095056444,0.07457974744921095,0.0002574461104003521,1.2277637882279202,-0.6222751660693373
1999-01-12 00:00:00,US-MMS,1.3706,-71.6,-6.292,4.115,97.6,0.0034931958361628015,0.07092348550203012,0.00031106240865125284,1.2263013764482218,-0.7628394152206512
1999-01-28 14:00:00,US-MMS,30.528,158.4,1.315,0.81,98.7,0.0034110970431751987,0.07293232328194235,0.010219183841440624,1.2550829907414551,1.3757122909390198
1999-01-28 15:00:00,US-MMS,11.576,62.58,-0.437,0.16,98.8,0.003371543045440185,0.059208036706935446,0.0056501464990956875,1.2593425323164278,0.6864656478760284
1999-02-02 16:00:00,US-MMS,46.707,51.5,-0.279,0.17,97.5,0.0033919228193604162,0.08691577041581278,0.03838930133922331,1.2427267663436352,0.04672388502659211
1999-02-03 18:00:00,US-MMS,9.343,-52.57,-1.041,5.1,97.3,0.002006003933180961,0.061718845447305735,0.0009578884866771326,1.2182042661250476,-0.805589134554455
1999-02-03 20:00:00,US-MMS,3.734,-76.1,-6.108,4.71,97.4,0.002207476806230138,0.04059210306458511,0.0004630582408009583,1.221167884593567,-1.4799181050678956
1999-02-04 03:00:00,US-MMS,4.392,-84.4,-6.451,3.88,97.5,0.003949541467864382,0.06778624449965222,0.0017387221261930602,1.2260841056096536,-0.9857986953502139
1999-02-04 10:00:00,US-MMS,56.405,281.98,-6.466,-0.46,98.3,0.0022414394403110233,0.10538366410430555,0.009979319972006134,1.2558181476696375,1.7446110440748381
1999-02-04 16:00:00,US-MMS,17.769,153.39,1.149,0.43,98.9,0.0019278839327183028,0.08219171549814104,0.002435921925750767,1.2593730494600366,1.2926571780666454
1999-02-06 12:00:00,US-MMS,35.205,166.66,16.468,3.97,98.3,0.0029777255290368834,0.05553401269750666,0.004466883978420947,1.2357428214781807,1.667230052920132
1999-02-08 10:00:00,US-MMS,49.296,180.38,-2.176,0.67,98.4,0.003790223930029423,0.05571132985440089,0.027684464164732463,1.2519079031915394,1.9011563772363131
1999-02-08 12:00:00,US-MMS,107.558,458.34,6.889,1.3,98.3,0.0034123303428531776,0.07881276632643884,0.02206554858320863,1.2477648048388903,3.4795891743836007
1999-02-08 13:00:00,US-MMS,127.032,402.86,12.144,2.87,98.2,0.0034116116263132944,0.08095235124800679,0.02315594295822485,1.2394054029568855,2.6150190927798342
1999-02-08 14:00:00,US-MMS,99.44,420.01,16.042,5.11,98.2,0.0033297479583685456,0.0624043064501019,0.009500618307239046,1.229428158284193,3.9495121284567816
1999-02-08 15:00:00,US-MMS,69.938,317.3,17.919,6.51,98.1,0.0032301062611151117,0.0665188178182744,0.006005243772759797,1.2220278479592566,2.808556244899072
1999-02-08 16:00:00,US-MMS,38.811,168.0,15.865,7.52,98.0,0.003320415845926133,0.06949684413235474,0.003483037544047857,1.2163891281448385,1.3338844821790374
1999-02-08 23:00:00,US-MMS,4.823,-65.6,-6.011,5.48,98.0,0.0030099726109277533,0.027224777357223912,0.0008239674034739342,1.2252949667889739,-1.9213024482300811
1999-02-09 09:00:00,US-MMS,65.669,77.13,-1.112,3.59,98.4,0.004150719472173484,0.05164254622156585,0.04246459137468007,1.2386984969715522,0.19556881140203272
1999-02-09 13:00:00,US-MMS,87.077,434.92,18.383,10.02,98.5,0.001863747055574956,0.06956022320836591,0.0037546636280353005,1.2118013681385078,3.889056270156577
1999-02-10 12:00:00,US-MMS,64.869,449.6,12.094,8.29,98.7,0.0015924125400639273,0.08596461210915816,0.0031241821699647477,1.2217258959050916,3.530420415192033
1999-02-10 15:00:00,US-MMS,38.59,219.27,18.702,11.18,98.4,0.001628693304936971,0.08705811337794254,0.0017265347353979863,1.2056322655080622,1.5355566987805016
1999-02-10 16:00:00,US-MMS,27.081,132.89,18.092,11.29,98.4,0.0019038161336964075,0.07899018175155015,0.0013070964243131163,1.2051660176202619,0.9168487935962979
1999-02-10 20:00:00,US-MMS,3.011,-54.2,0.785,9.9,98.3,0.001976307712479726,0.05572968915466323,0.0001907986178943987,1.209853561872579,-0.8558793562248856
1999-02-11 06:00:00,US-MMS,-13.658,-57.4,9.213,13.52,98.1,0.009694835341003514,0.04732738095464075,0.015518274732368846,1.1921453516596983,-0.9338975350527381
1999-02-12 15:00:00,US-MMS,17.239,65.46,-4.535,-0.61,98.1,0.0019018658826781454,0.10373089614553217,0.003004133555053538,1.253952843473566,0.4035677591844179
1999-02-13 16:00:00,US-MMS,44.46,190.7,-3.444,-2.82,99.6,0.0015661383801021103,0.07303033342422104,0.008155527670409566,1.283534489025983,1.5889070509473868
1999-02-14 22:00:00,US-MMS,5.249,-80.2,-8.619,1.16,99.0,0.0019589960585073983,0.045856252447592734,0.0009445530123659533,1.2572915687913333,-1.3259593454099996
1999-02-14 23:00:00,US-MMS,6.098,-80.2,-8.883,1.05,98.9,0.0019373498377539035,0.04717360279747951,0.0010995191897595373,1.2565254517552034,-1.2995372135462167
1999-02-15 02:00:00,US-MMS,5.486,-79.7,-9.076,0.75,98.8,0.0017921192677014003,0.0383398731778691,0.0009950836516736763,1.2566298193041363,-1.5718736259069703
1999-02-15 03:00:00,US-MMS,5.398,-79.3,-9.048,0.85,98.8,0.0017635968088695576,0.03654714704798109,0.000960377610650975,1.2561711952824923,-1.6396100037786907
1999-02-15 04:00:00,US-MMS,5.202,-79.5,-9.048,1.04,98.8,0.0017299904412986674,0.040082889181286586,0.000864842995179686,1.2553007312717566,-1.496094524644234
1999-02-15 05:00:00,US-MMS,7.004,-76.1,-8.928,1.16,98.8,0.0016821936051549396,0.043883799806780574,0.0011007698915945845,1.254751585824078,-1.3404029339301462
1999-02-15 06:00:00,US-MMS,6.185,-75.7,-8.712,1.19,98.8,0.0016439511641729463,0.03708954518041599,0.0009805637473745549,1.2546143745257816,-1.564670996556859
1999-02-15 14:00:00,US-MMS,69.736,273.78,11.325,9.91,98.4,0.0015892546221816825,0.08791051214001824,0.0034122450678934356,1.2110415532110057,1.8011862240492609
1999-02-16 00:00:00,US-MMS,3.095,-85.0,-5.618,6.31,98.3,0.0018990005982012347,0.0385930031429734,0.0002988431115881804,1.22539558680324,-1.735329329914544
1999-02-16 01:00:00,US-MMS,1.44,-83.2,-5.784,6.09,98.3,0.001929967191958741,0.034182881673757326,0.0001453109171912922,1.2263610180777593,-1.8717234127295423
1999-02-17 16:00:00,US-MMS,21.186,70.5,-3.36,-2.92,98.1,0.002291832973954218,0.06285908450612403,0.0077175120150988685,1.2646719755774183,0.6593018450961244
1999-02-20 10:00:00,US-MMS,21.37,117.4,-6.529,-4.57,98.8,0.002142207868792397,0.02981390880860587,0.0069343628509482575,1.2815209900491582,2.670933487479408
1999-02-20 11:00:00,US-MMS,53.253,143.71,-4.33,-4.38,98.8,0.002228657459427395,0.036310981790178234,0.03113409628837351,1.2806150519306578,2.028271660271857
1999-02-21 16:00:00,US-MMS,26.719,227.82,0.751,-4.74,99.3,0.001146242141893965,0.07608529001912524,0.004493290345708673,1.2888221911507485,2.0329634908805763
1999-02-25 12:00:00,US-MMS,92.043,293.74,4.428,-0.95,98.6,0.002934419488595475,0.07675999686595478,0.03486328318786009,1.261918312930401,2.0264065944472236
1999-02-25 16:00:00,US-MMS,36.244,169.83,3.452,-1.04,98.6,0.0028005236775082193,0.05325181216486672,0.010667908982481876,1.2623356906385474,1.9262624757855784
1999-02-26 11:00:00,US-MMS,104.326,473.71,-3.872,-0.06,98.9,0.002397389086454305,0.09861255975335183,0.01675398919503843,1.261632717680167,2.9852146255661474
1999-02-26 13:00:00,US-MMS,116.298,392.43,14.432,2.52,98.7,0.002124831049225608,0.08536252714461305,0.012980977547944042,1.2472976244913447,2.4456837718533864
1999-02-26 15:00:00,US-MMS,34.502,182.56,13.402,4.05,98.5,0.0021094658144541166,0.07025214596637094,0.003261126151667754,1.2378996876471184,1.5406876429829612
1999-02-26 20:00:00,US-MMS,3.497,-65.8,-4.075,3.7,98.3,0.002476839922537603,0.042722081948183756,0.000542460101487346,1.2369479887593768,-1.2280730554458252
1999-02-28 00:00:00,US-MMS,-8.649,-67.7,2.203,6.93,96.8,0.006328116701597686,0.049176171766991836,0.010496352703916242,1.2040255649454625,-1.0293853117622145
1999-02-28 02:00:00,US-MMS,-4.799,-54.7,-4.616,5.22,96.8,0.005659797182343763,0.03928106867815487,0.005894145977890796,1.2114217775978917,-0.9469120407627912
1999-03-01 09:00:00,US-MMS,31.698,105.83,-10.114,-1.16,97.7,0.0027409714125445662,0.07299009207373304,0.010919271884879764,1.2513652064590248,0.9177729238753478
1999-03-01 11:00:00,US-MMS,64.56,291.03,0.371,-0.23,97.8,0.002605014479043654,0.0864095407193125,0.013156681882012598,1.2483775240680934,2.0855708208591777
1999-03-01 15:00:00,US-MMS,61.059,392.3,16.054,3.62,97.6,0.0026021342887889505,0.08499765104260283,0.005958975668098217,1.2284946025252599,3.003461423062675
1999-03-03 09:00:00,US-MMS,27.493,50.63,-9.371,-2.0,97.3,0.0028978097595089647,0.09432323186212212,0.019736093616558273,1.2501026629146028,0.2743214932447766
1999-03-03 10:00:00,US-MMS,27.522,60.08,-8.706,-2.65,97.4,0.0029259668218483805,0.09109700687774634,0.03214153326363485,1.2543944858157796,0.3593081092706656
1999-03-03 11:00:00,US-MMS,40.488,148.98,-10.039,-2.68,97.5,0.002768547679188963,0.11143023090287318,0.025027544792373405,1.2558216429808937,0.8428201162559342
1999-03-03 12:00:00,US-MMS,33.838,114.5,-6.98,-3.16,97.6,0.0025570288415355407,0.09612546527270174,0.01863035668779355,1.2593446095815262,0.7203825353035571
1999-03-03 13:00:00,US-MMS,34.81,180.63,-7.158,-3.4,97.6,0.002243769448605199,0.10007409857940965,0.011697293395289958,1.2604650644704956,1.206730853973819
1999-03-03 14:00:00,US-MMS,31.131,196.22,-4.927,-4.1,97.7,0.0018965219811216277,0.1022382506497168,0.008532113979446148,1.2650392956877539,1.3079956705159732
1999-03-03 15:00:00,US-MMS,39.611,197.3,-5.503,-4.34,97.7,0.0017121981509590526,0.09863544761418272,0.010037391458351185,1.2661687530404007,1.3001941023970258
1999-03-03 16:00:00,US-MMS,30.4,89.63,-6.411,-4.02,97.8,0.0018482088641949494,0.09699609344591313,0.00925916673213919,1.2659576928200647,0.5319069824741733
1999-03-03 17:00:00,US-MMS,14.762,54.88,-8.722,-3.9,97.9,0.0019444848479595457,0.086648062758826,0.004698792883476847,1.2666873360539939,0.4427731809392369
1999-03-04 17:00:00,US-MMS,14.075,75.01,10.399,2.44,98.6,0.0016131829358714239,0.028186347109011002,0.0013870294707765086,1.246395604991673,1.4313310656641234
1999-03-18 14:00:00,US-MMS,40.092,548.32,25.682,-0.4,98.8,0.0017081557018590533,0.1045524525429279,0.004273633609339228,1.2619281668465734,3.6391821975963015
1999-03-18 15:00:00,US-MMS,35.8723,443.2,24.01,0.68,98.8,0.0017583168676072738,0.11207254163370918,0.003812013165754156,1.25695105542637,2.707542133935345
1999-03-20 09:00:00,US-MMS,44.729,295.13,-6.148,-1.75,99.0,0.0019628951002750054,0.08086182118292554,0.0074945705677176636,1.2707724769165465,2.4842365431899416
1999-03-20 10:00:00,US-MMS,51.628,445.9,0.068,-3.93,98.9,0.0014311518344097903,0.05924461135252345,0.0065733736052184235,1.2797685122623759,5.173383691730305
1999-03-21 15:00:00,US-MMS,37.399,452.32,20.978,0.02,98.1,0.0014550892613800776,0.10684804217014113,0.003773980711052694,1.2510609069820466,2.932393875782474
1999-03-21 16:00:00,US-MMS,26.798,272.9,18.354,0.05,98.1,0.001422928588357949,0.09739144391711696,0.0029693437157142176,1.2509235284051452,1.8601027902848164
1999-03-21 17:00:00,US-MMS,28.332,156.34,11.396,-0.15,98.2,0.0013969748646498416,0.09127381164525426,0.003507041630887634,1.2531160414804379,1.0144711604838568
1999-03-22 09:00:00,US-MMS,57.008,309.67,-11.022,-4.45,98.6,0.0017157432725007705,0.09585389412426482,0.013457129972719922,1.2783556560463532,2.1411951847983373
1999-03-22 11:00:00,US-MMS,48.237,445.84,2.784,-3.74,98.6,0.0012830419969222463,0.0852979297124866,0.0065370272596102265,1.274986692326399,3.612333512307617
1999-03-22 15:00:00,US-MMS,28.923,320.17,14.974,-1.38,98.5,0.001070481288437481,0.09114964699026908,0.003130213507424642,1.2626330846516585,2.388582389039277
1999-03-22 16:00:00,US-MMS,19.582,275.32,12.636,-1.35,98.5,0.001040895315593371,0.05751542442167532,0.0019120320215961328,1.2624937211765315,3.33126294673009
